text,clean_text,label
FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,free doublescoop ice cream disc 10 di haagen dasz dengan tcash tap s k berlaku informasi tsel me tappromo,1
Ajakin ke soekarno hatta aja nama1 . Makan di eatboss soekarno hatta wkwkw,ajakin ke soekarno hatta saja nama1 makan di eatboss soekarno hatta wkwkw,0
Terus Isi saldo TCASHmu dan nikmati aneka promo di merchants partner TCASH! Cek promo terbaru TCASH di tsel.me/tappromo,terus isi saldo tcashmu dan nikmati aneka promo di merchants partner tcash cek promo terbaru tcash di tsel me tappromo,1
selamat!anda mndptkan hadiah Cektunai Rp. 15jt dari INDOSAT pin_277fg49 U/info pengambilan hadiah.kunjungi website indosat www.gebyar-poinindosat.blogspot.com,selamat anda mendapatkan hadiah cektunai rupiah 15jt dari indosat pin 277fg49 untuk informasi pengambilan hadiah kunjungi website indosat link,1
"sy RUDY dri MALAYSIA Brencana investasikan uang sy Sbagai bekal hidup di indo,sy butuh org yg bisa sy percayakan uang sy RM 5jt,bila Bsedia,sms di 085256144059",saya rudy dari malaysia brencana investasikan uang saya sbagai bekal hidup di indo saya butuh org yang bisa saya percayakan uang saya rm 5jt bila bsedia sms di 085256144059,1
dikirim nya disatuin ?,dikirim nya disatuin,0
Paket Anda sudah di non-aktifkan atas permintaan Anda. Penggunaan Internet anda akan di kenakan Tariff Dasar Internet sesuai skema tariff kartu Anda. Hubungi *363# untuk aktifkan Paket Internet lainnya. Info lebih lanjut www.telkomsel.com,paket anda sudah di non aktifkan atas permintaan anda penggunaan internet anda akan di kenakan tariff dasar internet sesuai skema tariff kartu anda hubungi 363 untuk aktifkan paket internet lainnya informasi lebih lanjut link,1
"habis ini, pake groupwhere. biar ga berceceran filenya.",habis ini pake groupwhere biar tidak berceceran filenya,0
plg yth no. Anda terpilih menang cek Rp.100jt dr PT.TELKOMSEL HUT TELKOMSEL Ke-17 thn 2012 hub call center:085313311113,pelanggan yang terhormat no anda terpilih menang cek rupiah 100jt dari pt telkomsel hut telkomsel ke 17 thn 2012 hubungi call center 0853133113,1
"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",buy 2 get 3 tiket trans studio bandung mulai 14 mei 14juni 2013 tunjukkan sms ke petugas di lokasi informasi link,1
"Terus kalau ada yang nanya, kita masuknya suka pagi sampai siang kadang juga siang sampai sore. Gimana dari sananha.",terus kalau ada yang nanya kita masuknya suka pagi sampai siang kadang juga siang sampai sore gimana dari sananha,0
Bagi yg tertarik lanjut ke gemastik 2016 ini tempat diskusinya : http://line.me/R/ti/g/xxxxx,bagi yang tertarik lanjut ke gemastik 2016 ini tempat diskusinya link,0
"Selamatkan diri kalian guys, karna ""nikah bareng"" hanyalah kebaperan sesaat #NaonAriDyah",selamatkan diri kalian guys karena nikah bareng hanyalah kebaperan sesaat naonaridyah,0
Ada internet min alamatnya dmn?,ada internet min alamatnya dmn,0
Kita yg stay di pdg aja mah tinggal cuss aja kapan meet up nya,kita yang stay di pdg saja mah tinggal cuss saja kapan meet up nya,0
Karena saya lagi si surabaya sampai besok.. Hati kamis ke kantor gimana ?,karena saya lagi si surabaya sampai besok hati kamis ke kantor gimana,0
😁 sebelumnya ga ad nulis kerudung. Kirain warna jins,sebelumnya tidak ad nulis kerudung kirain warna jins,0
Pnjaman mudah tnpa jaminan. proses sangat cepat. Syrt : ft cpy ktp dan krtu kredit. bila berminat Call : ARI di 021-32440198,pnjaman mudah tnpa jaminan proses sangat cepat syrt ft cpy ktp dan krtu kredit bila berminat call ari di 021 32440198,1
"Struktur Data, PLA, Skripsi, dan Sidang",struktur data pla skripsi dan sidang,0
"cari yang seken, murah meriah kualiatasnya masih bagus kok",cari yang seken murah meriah kualiatasnya masih bagus kok,0
"TOKO NIAGA-CELL Disc 45% Khusus PROMO :-  Blackberry-  NOKIA-  SAMSUNG-  IPHONE dll, Info Hub/sms ke : 082-33333-783 Buka  Website Kami : www.niaga-cell.blogspot.com",toko niaga cell disc 45 khusus promo blackberry nokia samsung iphone dll informasi hubungi sms ke 082 33 783 buka website kami link,1
Cukup alquran sbgai pedoman bagi org2 yg beriman.,cukup alquran sbgai pedoman bagi org2 yang beriman,0
Surat keputusan dari tri care indonesia no.XV\2016 pin pemenang anda 67YTG44 terpilih mendapatkan cek sebesar 45jt info kunjungi www.my-tri8.webnode.com,surat keputusan dari tri care indonesia no xv 2016 pin pemenang anda 67ytg44 terpilih mendapatkan cek sebesar 45jt informasi kunjungi link,1
Pelanggan Yth: Selamat! No.SimCard anda 081571xxx resmi menang undian POIN plus-plus Edisi th2014 Pin anda:er56d7 U/info klik: www.hadiah-poin.blogspot.com,pelanggan yang terhormat selamat no simcard anda 081571xx resmi menang undian poin plus plus edisi th2014 pin anda er56d7 untuk informasi klik link,1
Nanti sync aja di github dekstop nya.,nanti sync saja di github dekstop nya,0
"PESAN RESMI Tri No. XV/15 PIN PEMENANG ANDA 67YTG44 TERPILIH SEBAGAI PEMENANG KE II HADIAH CEK TUNAI 45 JT INFO LENGKAP .TRI KLIK WWW.3-INFO.WEBNODE.COM DARI NOMER. 089655264130 TERUS ADA SMS .MAAF,SAYA MAU TELEPON BISA DARI NO 085104894998",pesan resmi tri no xv 15 pin pemenang anda 67ytg44 terpilih sebagai pemenang ke ii hadiah cek tunai 45 juta informasi lengkap tri klik link dari nomer 089655264130 terus ada sms maaf saya mau telepon bisa dari no 085104894998,1
Jauh amat jemput di poskamling cilimus dee,jauh amat jemput di poskamling cilimus dee,0
"Selamat,Anda M-dptkan Hadiah 1 Unit Mobil HONDA JAZZ & UANG TUNAI 35JT Rs Dr PT.TriCare PIN Pemenang Anda;477bfg7s. U/info klik: www.tricareindonesia.com",selamat anda m dptkan hadiah 1 unit mobil honda jazz uang tunai 35jt rs dari pt tricare pin pemenang anda 477bfg7s untuk informasi klik link,1
Surat keputusan resmi SLMT'No SIM CARD anda telah T/pilih pemenang Ke-2 dri PT-M-TRONIK Pin anda:(2f54e7) U/info klik: www.cekhadiahmtronik2016.ga,surat keputusan resmi selamat no sim card anda telah t pilih pemenang ke 2 dari pt m tronik pin anda 2f54e7 untuk informasi klik link,1
Aku mah plg kerumah ketemu ayah mama cukup kok :'),saya mah pelanggan kerumah ketemu ayah mama cukup kok,0
Nomor Anda telah diisi dengan nomor SN 6081606122581198060.,nomor anda telah diisi dengan nomor sn 6081606122581198060,1
"Jadi males banget PLA, asa ga pernah beres. Wkwk. Padahal dari pa rawosi ga bermasalah.",jadi males banget pla asa tidak pernah beres tertawa padahal dari pa rawosi tidak bermasalah,0
"BELANJA ONLINE Promo Disc 50% BB Dakota 2,8jt BB Onyx3 2,2jt BB Z10 3,5jt DLL, Info/sms: 085775102735 PIN:BB.2A03F3F2 Atau Klik: www.jaya-olshop.blogspot.com",belanja online promo disc 50 bb dakota 2 8jt bb onyx3 2 2jt bb z10 3 5jt dll informasi sms 085775102735 pin bb 2a03f3f2 atau klik link,1
"Sy Dr. Hj FATIMA sdh cocok mengenai Rumah dan Tanah Bpk/Ibu, tlg jgn ditawarkan lg ke yg lain. Soal Hrg negosiasi ke suami sy di 082375833300 Dr. H. HENDRA IRAWAN",saya dari hj fatima sudah cocok mengenai rumah dan tanah bpk ibu tlg jangan ditawarkan lagi ke yang lain soal hrg negosiasi ke suami saya di 08237583300 dari h hendra irawan,1
Surat Keputusan: No.VII/T-3/16. Kode Undian: 94ad653 Selamat No.Anda mendpt Hadiah CEK TUNAI Rp.45Jt U/Info Kunjungi; www.gebyartricare.co.vu,surat keputusan no vii t 3 16 kode undian 94ad653 selamat no anda mendpt hadiah cek tunai rupiah 45jt untuk informasi kunjungi link,1
"Nelpon MURAH hanya Rp 2500/panggilan ke MAL, SIN, Thailand, HK, China & USA dgn tekan 01016+Kode Negara+No Tujuan. Info: www.indosatooredoo.com/flatcall2500",nelpon murah hanya rupiah 2500 panggilan ke mal sin thailand hk china usa dengan tekan 01016 kode negara no tujuan informasi link,1
"pesan dari nama1 : Assalamu'alaikum wr.wb. Pak, Indonesia Android Kejar bekerjasama dengan Depilkom mau mengadakan pelatihan Android level intermediate, masih ada slot 2 orang lagi, syaratnya sudah pernah membuat app android dan ngebuild menggunakan Android Studio, barang kali di kelas Bapak ada yang berminat. Nuhun.o ya pelatihannya mulai hari sabtu besok, 2 April, setiap sabtu selama 7 pertemuan, bertempat di lab praktikum kita.",pesan dari nama1 assalamu alaikum wr wb pak indonesia android kejar bekerjasama dengan depilkom mau mengadakan pelatihan android level intermediate masih ada slot 2 orang lagi syaratnya sudah pernah membuat app android dan ngebuild menggunakan android studio barang kali di kelas bapak ada yang berminat nuhun o ya pelatihannya mulai hari sabtu besok 2 april setiap sabtu selama 7 pertemuan bertempat di lab praktikum kita,0
"ok,, kabarin yah, no m3 aku ke blokir, ga ada paket data, smsin aja ke asmul ya, ini kbtulan lagi free wife",ok kabarin yah no m3 saya ke blokir tidak ada paket data smsin saja ke asmul ya ini kbtulan lagi free wife,0
"Yaudah gausah babakaran atuh, yg pake kompor aja. Lagian ribet kan nyalain arengnya",yaudah tidak usah babakaran atuh yang pake kompor saja lagian ribet kan nyalain arengnya,0
Gais bsk kke kantor ya nyerahin laporan aku udh dpt ttd paedi. Ini mau hard jilid. Jgn lupa ya source sama laporan di cd,gais bsk kke kantor ya nyerahin laporan saya sudah dapat ttd paedi ini mau hard jilid jangan lupa ya source sama laporan di cd,0
"Yooo sama2, oke nanti aku umumin di grup kelas",yoo sama sama oke nanti saya umumin di grup kelas,0
TOPUP pulsa Rp50000 berhasil via transfer ATM BNI kode trx 01123190427523627. Pulsa anda saat ini Rp 54205. Terima kasih telah menggunakan INDOSAT OOREDOO,topup pulsa rp500 berhasil via transfer atm bni kode trx 01123190427523627 pulsa anda saat ini rupiah 54205 terima kasih telah menggunakan indosat ooredoo,0
PESAN RESMI Selamat No. Simcard Anda M-dptkan hadiah Cek Rp.100juta dr TRI CARE Pin: 7Y7R8K9Z Info klik: www.bima3careindo.blogspot.com,pesan resmi selamat no simcard anda m dptkan hadiah cek rupiah 100juta dari tri care pin 7y7r8k9z informasi klik link,1
Ayam kita menunya banyak bu...ada ayam bakar.kremes. cabe ijo. Lada hitam. Asam manis. Rica rica. Baberque. Untuk isinya nasi.ayam.lalapan.sambal. tempe tahu . air mineral gelas. Bu...maaf bu kita ada paket yang 16rb s/d 19rb. Kalau boleh tau anggaran ibu berapa ya,ayam kita menunya banyak bu ada ayam bakar kremes cabe ijo lada hitam asam manis rica rica baberque untuk isinya nasi ayam lalapan sambal tempe tahu air mineral gelas bu maaf bu kita ada paket yang 16rb s d 19rb kalau boleh tau anggaran ibu berapa ya,0
Abis maghrib yaa,abis maghrib yaa,0
"PT. INDOFOOD tbk Menyampaikan bahwa anda terpilih pemenang HADIAH ke(3) dari promo POPMIE dengan PIN:2aiu87e, Utk/ info klik www.promoundian-popmie.jimdo.com",pt indofood tbk menyampaikan bahwa anda terpilih pemenang hadiah ke 3 dari promo popmie dengan pin 2aiu87e untuk informasi klik link,1
kita lewat kolam renang? di gymnas atau gik,kita lewat kolam renang di gymnas atau gik,0
TOKO RAHMAT ABADI BIG SALE 50% Blackberry/Iphone Ipad/Samsung Laptop/DLL Info Hub Sms: 085774280447 PIN: 26AB6BEE Atau Cek di: www.abadi-shop47.blogspot.com,toko rahmat abadi big sale 50 blackberry iphone ipad samsung laptop dll informasi hubungi sms 085774280447 pin 26ab6bee atau cek di link,1
Yg mau ngampus aku pengen titip bawain SKL aku di prodi😭,yang mau ngampus saya pengen titip bawain skl saya di prodi,0
"Selamat! Anda berhak membeli PAKET PAS untuk Nelpon, SMS, Internetan, Video, dan NSP. Pilih paketnya MULAI Rp500 di *100*999#, hanya berlaku HARI INI! Info: 188",selamat anda berhak membeli paket pas untuk nelpon sms internetan video dan nsp pilih paketnya mulai rp500 di 100 99 hanya berlaku hari ini informasi 188,1
Thank you for your appreciation & trust in using Telkomsel service. For further feedback please advice & text sms to 1166 (FREE)(for int'l charged),thank you for your appreciation trust in using telkomsel service for further feedback please advice text sms to 1166 free for int l charged,1
"kalo aku sih pertabel  nama1, mnyesuaikan kebutuhan :)",kalau saya sih pertabel nama1 mnyesuaikan kebutuhan,0
"besok jam berapaa? harus jadi ih, udah 2 kali skip 😂",besok jam berapaa harus jadi ih sudah 2 kali skip,0
Mau BONUS KEREN dari Indosat ooredoo? Ketik *345# dari HP kamu sekarang juga..!!,mau bonus keren dari indosat ooredoo ketik 345 dari handphone kamu sekarang juga,1
hmmm tiket ke batam berapa duit gile~,hmm tiket ke batam berapa duit gile,0
Pelanggan Yth. SIMCARD Anda sbg Pemenang Mendptkan HADIAH Mobil Toyota ALL NEW YARIS PIN:8JF2177 dari Program Pesta Akhir Tahun 3 Care Untuk Info Lenkap Klik: www.infohadiah3care2015.blogspot.co.id,pelanggan yang terhormat simcard anda sbg pemenang mendapatkan hadiah mobil toyota all new yaris pin 8jf2177 dari program pesta akhir tahun 3 care untuk informasi lenkap klik link,1
"Selamat,Kepada pelanggan 08157xxx Anda mendpt hadiah ke4 Dalam program POIN PLUS PLUS INDOSAT No.PIN:277fg49 info klik www.poinplus-plus-7887-2013.webs.com",selamat kepada pelanggan 08157xx anda mendpt hadiah ke4 dalam program poin plus plus indosat no pin 277fg49 informasi klik link,1
GRATIS 50 SMS ke sesame indosat selama 2 hari. Hanya dengna mengirimkan 50 SMS selama 10-16 Juni 2013. Bonus 1x diberikan maks 2x24jam. Info 100. US6,gratis 50 sms ke sesame indosat selama 2 hari hanya dengna mengirimkan 50 sms selama 10 16 juni 2013 bonus 1x diberikan maks 2x24jam informasi 100 us6,1
"Plg Yth! No' Anda 081310xx m-dpt Hadiah All new avanza dr PT.TELKOMSEL PIN Anda:b89c7h9 Info klik: www.tsel-resmi777.jimdo.comA/hub;0016282333306308,",pelanggan yang terhormat no anda 081310xx m dapat hadiah all new avanza dari pt telkomsel pin anda b89c7h9 informasi klik link,1
"semua udah masuk kok, cuma database sindo memang nggak real time.",semua sudah masuk kok cuma database sindo memang tidak real time,0
"Oh saya udh berangkat kayanya, ga ada koneksi..",oh saya sudah berangkat kayanya tidak ada koneksi,0
"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",anda tlh menukarkan poin 95 poin tukarkan terus poinnya siapa tahu anda pemenang hadih lagi g3 32gb pemenang adalah yang menukarkan poin tertinggi s d 30 november 15,1
PESAN RESMI DR TRI CARE INDONESIA 2016 Selamat No.anda mendpatkn hadiah dgn No.PIN:47BL759 U/info silahkan kunjungi: www.gebyar3care-2016.jimdo.com,pesan resmi dari tri care indonesia 2016 selamat no anda mendpatkn hadiah dengan no pin 47bl759 untuk informasi silahkan kunjungi link,1
Kirim ke Bank BCA No. Rek : 2731.7942.96 A/n : ANDRIANTO DJUNAEDI usahakan hari ini trms,kirim ke bank bca no rekening 2731 7942 96 a n andrianto djunaedi usahakan hari ini trms,1
"RAWIT harganya miring, Internetan makin sering! AYO isi ulang kartu AXIS kamu sekarang, pastikan besok ikut promo Rabu RAWIT. Info838. LD328",rawit harganya miring internetan makin sering ayo isi ulang kartu axis kamu sekarang pastikan besok ikut promo rabu rawit info838 ld328,1
"Guys, aku ganti template nya.",guys saya ganti template nya,0
INFO RESMI PT.INDOFOOD slmt No.anda T.dftar pmnang ke2.POP MIE 2013 Meraih HADIAH 1 Unit 'NISSAN JUKE' dgn pin;12xb9v2 U/info kunjungi www.popmie200.webs.com,informasi resmi pt indofood selamat no anda t dftar pmnang ke2 pop mie 2013 meraih hadiah 1 unit nissan juke dengan pin 12xb9v2 untuk informasi kunjungi link,1
"Kak, kirimkan dulu pulsa25rb di no baruku ini 085377771822",kak kirimkan dulu pulsa25rb di no baruku ini 0853771822,1
Selamat Paket BBM Gratis Anda telah diaktifkan. Paket BBM ini berlaku untuk 30 hari,selamat paket bbm gratis anda telah diaktifkan paket bbm ini berlaku untuk 30 hari,1
Pembelian Dave's Single Burger Gratis Small Fries & Minum. Periode 5-11 September 2016. Tukarkan SMS ini di Wendy's terdekat! Penawaran terbatas.Promo *606#,pembelian dave s single burger gratis small fries minum periode 5 11 september 2016 tukarkan sms ini di wendy s terdekat penawaran terbatas promo 606,1
Iya ih maksimalkan waktu sebulan ini wkwkwk pdhl aku aja yg mo pindah :(,iya ih maksimalkan waktu sebulan ini tertawa pdhl saya saja yang mo pindah,0
"numpang promo yah, siapa tau ada yang berminat 😊 bisa liat di instagram nya ",numpang promo yah siapa tau ada yang berminat bisa liat di instagram nya,0
Sep aku udh pull tp kenapa direpository git ga msk ke aku ya,sep saya sudah pull tp kenapa direpository git tidak msk ke saya ya,0
"Tolong belikan dulu mama pulsa 25rb di no AS baru mama 085245318024 soalnya teman mama kecelakaan, skrg kluarganya hrus dihubungi, nti mama ganti uangnya,penting",tolong belikan dulu mama pulsa 25rb di no as baru mama 085245318024 soalnya teman mama kecelakaan sekarang kluarganya hrus dihubungi nti mama ganti uangnya penting,1
"Isi ulang Kuota++ 3GB berhasil, dan kuota tlh ditambahkan. Nikmati juga BONUS NELPON ke semua Tri Rp10rb, cek bonus di *111*2# atau BimaTri.",isi ulang kuota 3gb berhasil dan kuota tlh ditambahkan nikmati juga bonus nelpon ke semua tri rp10rb cek bonus di 11 2 atau bimatri,1
pesan resmi DARI PT.PLANET 3CARD anda mendapatkan hadiah CEK TUNAI Senilai Rp.100jt jatuh ke pemenang (3) kode PIN:bg58757 silahkan CEK di: www.planet-3care2016.blogspot.com.,pesan resmi dari pt planet 3card anda mendapatkan hadiah cek tunai senilai rupiah 100jt jatuh ke pemenang 3 kode pin bg58757 silahkan cek di link,1
Selamat anda terdftr diProg GRATIS Nelp 1000Mnt&1000SMS keISAT+Internet hg 1000MB CUMA dg IsiUlang mulai 10rb. isiUlang pulsamu&Nikmati bonusnya.Cekbns: *555*3#,selamat anda terdftr diprog gratis nelp 100mnt 100sms keisat internet hg 100mb cuma dg isiulang mulai 10rb isiulang pulsamu nikmati bonusnya cekbns 55 3,1
Kalo udah ad progres besok aja jam 2an kesini..,kalau sudah ad progres besok saja jam 2an kesini,0
SELAMAT anda pemenang undian POP-MIE mendapatkan hadiah 1unit MOBIL NISSAN JUKE pin anda;b89c7h9 untuk info KLIK SITUS KAMI DI; www.info-undian-pop-mie.webs.com,selamat anda pemenang undian pop mie mendapatkan hadiah 1unit mobil nissan juke pin anda b89c7h9 untuk informasi klik situs kami di link,1
Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,anda tidak terdaftar dalam layanan paket malam hari untuk berlangganan lakukan isi ulang dengan voucher kenyang download,1
Aku di pt. DI,saya di pt di,0
"“ROXI CELL” Hanya dengan Rp.100rb Anda bisa jadi agen pulsa elektrik ke semua Operator GSM/CDMA,v5=4300,v10=8300,Utk daftar ketik MTRONIK kirim ke 087870870707",roxi cell hanya dengan rupiah 100rb anda bisa jadi agen pulsa elektrik ke semua operator gsm cdma v5 4300 v10 8300 untuk daftar ketik mtronik kirim ke 087870870707,1
Mau naik gojek tapi ga ada driver kayanya :( padahal bawaan banyak :(,mau naik gojek tapi tidak ada driver kayanya padahal bawaan banyak,0
"solusi khusus pemegang kartu kredit, nikmati kredit tanpa angunan dari bank asing 5 - 99 jt = 1,79 % 100 - 150 jt = 1,5% hub: lukman 081586769255 021 - 94828857",solusi khusus pemegang kartu kredit nikmati kredit tanpa angunan dari bank asing 5 99 juta 1 79 100 150 juta 1 5 hubungi lukman 081586769255 021 94828857,1
"Seru banget main 8 Ball Pool, pakai pulsa bisa banget loh Bro untuk beli koin games lainnya, cek caranya di http://tsel.me/jajanonline",seru banget main 8 ball pool pakai pulsa bisa banget loh bro untuk beli koin games lainnya cek caranya di link,1
"Sy Ajeng mendapat sms dari PT. 3Care Indonesia uang tunai Rp. 100 juta di website www.pttricare2016.blogspot.com tetapi dimintai membayar Administrasi Rp. 1,250 juta...sy juga di telpon pak Bambang Purwanto & diberi nomer rekening tujuan pembayaran Administrasi melalui Bank BRI a/n PT. TRI LESTARI bahkan dalam websitenya dicantumkan KTP Marketing Office PT. 3 Care Indonesia",saya ajeng mendapat sms dari pt 3care indonesia uang tunai rupiah 100 juta di website link tetapi dimintai membayar administrasi rupiah 1 250 juta saya juga di telpon pak bambang purwanto diberi nomer rekening tujuan pembayaran administrasi melalui bank bri a n pt tri lestari bahkan dalam websitenya dicantumkan ktp marketing office pt 3 care indonesia,1
"Maaf' Soal Angsuran bulan ini Pembayaran harus melalui ke bpk.Yogi, HP: 08562115779, soalnya sdh dikuasakan",maaf soal angsuran bulan ini pembayaran harus melalui ke bpk yogi handphone 08562115779 soalnya sudah dikuasakan,1
"BIG SALE 50% SINAR Blackberry -Z10 Rp.3,8jt -Dakota Rp 2,8jt -Tourch Rp 2jt -Davis Rp950 rb Infohub/sms: -089664054777 -297CCFA7 www.snr-bb.blogspot.com",big sale 50 sinar blackberry z10 rupiah 3 8jt dakota rupiah 2 8jt tourch rupiah 2jt davis rp950 ribu infohub sms 08966405477 297ccfa7 link,1
